name,price,info,link,is_available
Ультразвуковой щелевой датчик этикетки Leuze Electronic IGSU 14D/6.3-S12,232 146 руб.,"Глубина щели, мм:; 70; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Функция переключения:; NO/NC; Ширина щели, мм:; 4",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_igsu_14d_6_3_s12/,под заказ
Оптический щелевой датчик этикеток Leuze Electronic GS 63B/6D.3-S8,38 304 руб.,"Глубина щели, мм:; 61; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Ширина щели, мм:; 3",https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_63b_6d_3_s8/,под заказ
Ультразвуковой щелевой датчик этикетки DATASENSING SRX3-5-US-M12-PNH,110 712 руб.,"Глубина щели, мм:; 68; Соединение:; Разъем; Тип выходного сигнала:; PNP/NPN; Ширина щели, мм:; 3",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_datalogic_srx3_5_us_m12_pnh/,под заказ
Щелевой датчик для этикеток Banner SLC1BB6,231 000 руб.,"Глубина щели, мм:; 68,8; Соединение:; Кабель; Тип выходного сигнала:; PNP/NPN; Функция переключения:; NO/NC; Ширина щели, мм:; 1",https://sensoren.ru/product/shchelevoy_datchik_dlya_etiketok_banner_slc1bb6/,под заказ
Щелевой датчик ТЕКО OU NC3P-43P-20-LZS4,10 710 руб.,"Глубина щели, мм:; 24; Соединение:; Разъем; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 20",https://sensoren.ru/product/shchelevoy_datchik_teko_ou_nc3p_43p_20_lzs4/,под заказ
Индуктивный щелевой датчик Pepperl Fuchs SJ2-SN,16 100 руб.,"Соединение:; Кабель; Тип выходного сигнала:; NAMUR; Функция переключения:; NC; Ширина щели, мм:; 2",https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj2_sn/,под заказ
Оптический вилочный датчик Autonics BUP-50S-P,5 100 руб.,"Глубина щели, мм:; 36; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 50",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bup_50s_p/,под заказ
Оптический вилочный датчик Autonics BS5-T1M-P,1 660 руб.,"Глубина щели, мм:; 9; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_t1m_p/,под заказ
Щелевой датчик Banner SLE30B6VY,43 000 руб.,"Глубина щели, мм:; 45; Соединение:; Кабель; Тип выходного сигнала:; PNP/NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/shchelevoy_datchik_banner_sle30b6vy/,под заказ
Оптический вилочный датчик Autonics BUP-30-P,4 470 руб.,"Глубина щели, мм:; 36; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bup_30_p/,под заказ
Оптический вилочный датчик Autonics BUP-30,4 470 руб.,"Глубина щели, мм:; 36; Соединение:; Кабель; Тип выходного сигнала:; NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bup_30/,под заказ
Ультразвуковой щелевой датчик этикетки Leuze Electronic GSU12/6GX.3-M12,71 540 руб.,"Глубина щели, мм:; 80; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Функция переключения:; NO/NC; Ширина щели, мм:; 4",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_gsu12_6gx_3_m12/,под заказ
Индуктивный щелевой датчик TURCK SI3.5-K10-Y1,9 200 руб.,"Соединение:; Кабель; Тип выходного сигнала:; NAMUR; Ширина щели, мм:; 3,5",https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_turck_si3_5_k10_y1/,под заказ
Оптический вилочный датчик Autonics BS5-T1M,1 660 руб.,"Глубина щели, мм:; 9; Соединение:; Кабель; Тип выходного сигнала:; NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_t1m/,под заказ
Индуктивный щелевой датчик TURCK SI15-K30-AP6X,23 800 руб.,"Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; NO; Ширина щели, мм:; 15",https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_turck_si15_k30_ap6x/,под заказ
Щелевой датчик SICK WF15-40B410,27 290 руб.,"Глубина щели, мм:; 42; Соединение:; Разъем M8; Тип выходного сигнала:; PNP/NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 15",https://sensoren.ru/product/shchelevoy_datchik_sick_wf15_40b410/,под заказ
Щелевой датчик IFM Electronic OPU204,48 300 руб.,"Глубина щели, мм:; 55; Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 80",https://sensoren.ru/product/shchelevoy_datchik_ifm_electronic_opu204/,под заказ
Индуктивный щелевой датчик IFM Electronic N7S23A,6 700 руб.,"Соединение:; Кабель; Тип выходного сигнала:; NAMUR; Функция переключения:; NC; Ширина щели, мм:; 3.5",https://sensoren.ru/product/induktivnyy_datchik_ifm_electronic_n7s23a/,под заказ
Оптический щелевой датчик этикеток Leuze Electronic GS 61/6D.2,36 963 руб.,"Глубина щели, мм:; 41; Соединение:; Кабель; Тип выходного сигнала:; PUSH/PULL; Ширина щели, мм:; 3",https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_61_6d_2/,под заказ
Оптический вилочный датчик Autonics BS5-Y1M,1 660 руб.,"Глубина щели, мм:; 9; Соединение:; Кабель; Тип выходного сигнала:; NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_y1m/,под заказ
Щелевой датчик Wenglor YH03PCT8,40 600 руб.,"Глубина щели, мм:; 55; Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/shchelevoy_datchik_wenglor_yh03pct8/,под заказ
Оптический щелевой датчик этикеток Leuze Electronic GS 61/6.2,36 963 руб.,"Глубина щели, мм:; 41; Соединение:; Кабель; Тип выходного сигнала:; PUSH/PULL; Ширина щели, мм:; 3",https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_61_6_2/,под заказ
Индуктивный щелевой датчик Pepperl Fuchs SJ15-WS,54 700 руб.,"Соединение:; Кабель; Тип выходного сигнала:; 2-х проводный AC; Функция переключения:; NO; Ширина щели, мм:; 15",https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj15_ws/,под заказ
Щелевой датчик IFM Electronic OPU202,41 400 руб.,"Глубина щели, мм:; 35; Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/shchelevoy_datchik_ifm_electronic_opu202/,под заказ
Индуктивный щелевой датчик Pepperl Fuchs SJ10-N,17 300 руб.,"Соединение:; Кабель; Тип выходного сигнала:; NAMUR; Функция переключения:; NC; Ширина щели, мм:; 10",https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj10_n/,под заказ
Индуктивный щелевой датчик Pepperl Fuchs SJ5-N,14 400 руб.,"Соединение:; Кабель; Тип выходного сигнала:; NAMUR; Функция переключения:; NC; Ширина щели, мм:; 5",https://sensoren.ru/product/induktivnyy_shchelevoy_datchik_pepperl_fuchs_sj5_n/,под заказ
Оптический вилочный датчик Autonics BS5-Y1M-P,1 660 руб.,"Глубина щели, мм:; 9; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/opticheskiy_vilochnyy_datchik_autonics_bs5_y1m_p/,под заказ
Щелевой датчик LANBAO PU05M-TGPR-T-F4,2 010 руб.,"Глубина щели, мм:; 8,4; Соединение:; Кабель с разъемом; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05m_tgpr_t_f4/,под заказ
Щелевой датчик LANBAO PU05M-TGPR-T,1 300 руб.,"Глубина щели, мм:; 8,4; Соединение:; Кабель; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5",https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05m_tgpr_t/,под заказ
Щелевой датчик этикетки SICK UFN3-70P415,74 290 руб.,"Глубина щели, мм:; 69; Соединение:; Разъем; Тип выходного сигнала:; PNP; Функция переключения:; NO/NC; Ширина щели, мм:; 3",https://sensoren.ru/product/shchelevoy_datchik_etiketki_sick_ufn3_70p415/,под заказ
Щелевой датчик IFM Electronic OPL200,46 300 руб.,"Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 60",https://sensoren.ru/product/shchelevoy_datchik_ifm_electronic_opl200/,под заказ
Щелевой датчик DATASENSING SRF-30-5-P,30 517 руб.,"Глубина щели, мм:; 34; Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/shchelevoy_datchik_datalogic_srf_30_5_p/,под заказ
Щелевой датчик SICK WF80-60B410,34 870 руб.,"Глубина щели, мм:; 59; Соединение:; Разъем M8; Тип выходного сигнала:; PNP/NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 80",https://sensoren.ru/product/shchelevoy_datchik_sick_wf80_60b410/,под заказ
Емкостной щелевой датчик этикеток Leuze Electronic GK 14/24 L.2,146 655 руб.,"Глубина щели, мм:; 85; Соединение:; Разъем; Тип выходного сигнала:; PNP/NPN; Ширина щели, мм:; 1",https://sensoren.ru/product/emkostnoy_shchelevoy_datchik_etiketok_leuze_electronic_gk_14_24_l_2/,под заказ
Щелевой датчик этикетки SICK UFN3-70B417,77 320 руб.,"Глубина щели, мм:; 69; Соединение:; Разъем; Тип выходного сигнала:; PNP/NPN; Функция переключения:; NO/NC; Ширина щели, мм:; 3",https://sensoren.ru/product/shchelevoy_datchik_etiketki_sick_ufn3_70b417/,под заказ
Индуктивный щелевой датчик IFM Electronic N7S21A,6 700 руб.,"Соединение:; Спецразъем; Тип выходного сигнала:; NAMUR; Функция переключения:; NC; Ширина щели, мм:; 3,5",https://sensoren.ru/product/induktivnyy_datchik_ifm_electronic_n7s21a/,под заказ
Оптический щелевой датчик этикеток Leuze Electronic GS 61/6D-S8,31 149 руб.,"Глубина щели, мм:; 41; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Ширина щели, мм:; 3",https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_gs_61_6d_s8/,под заказ
Щелевой датчик SICK WFM30-40P321,18 190 руб.,"Глубина щели, мм:; 42; Соединение:; Разъем M8; Тип выходного сигнала:; PNP; Функция переключения:; на затемнение; Ширина щели, мм:; 30",https://sensoren.ru/product/shchelevoy_datchik_sick_wfm30_40p321/,под заказ
Щелевой датчик IFM Electronic OPU211,49 300 руб.,"Глубина щели, мм:; 60; Соединение:; Разъем M8; Тип выходного сигнала:; NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 120",https://sensoren.ru/product/shchelevoy_datchik_ifm_electronic_opu211/,под заказ
Щелевой датчик LANBAO PU05M-TGPR-Y-F4,2 010 руб.,"Глубина щели, мм:; 8,4; Соединение:; Кабель с разъемом; Тип выходного сигнала:; PNP; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 5,2",https://sensoren.ru/product/shchelevoy_datchik_lanbao_pu05m_tgpr_y_f4/,под заказ
Щелевой датчик ТЕКО OUR NC5P5-43N-R50-LZS4,11 430 руб.,"Глубина щели, мм:; 46; Соединение:; Разъем; Тип выходного сигнала:; NPN; Функция переключения:; на свет/на затемнение; Ширина щели, мм:; 50",https://sensoren.ru/product/shchelevoy_datchik_teko_our_nc5p5_43n_r50_lzs4/,под заказ
Ультразвуковой щелевой датчик этикетки Leuze Electronic IGSU 14D/6.3SD-S12,232 146 руб.,"Глубина щели, мм:; 68,5; Соединение:; Разъем; Тип выходного сигнала:; PUSH/PULL; Функция переключения:; NO/NC; Ширина щели, мм:; 4",https://sensoren.ru/product/ultrazvukovoy_shchelevoy_datchik_etiketki_leuze_electronic_igsu_14d_6_3sd_s12/,под заказ
"Оптический щелевой датчик этикеток Leuze Electronic IGS 63B/6.3,200-S12",39 943 руб.,"Глубина щели, мм:; 61; Соединение:; Кабель с разъемом; Тип выходного сигнала:; PUSH/PULL; Ширина щели, мм:; 3",https://sensoren.ru/product/opticheskiy_shchelevoy_datchik_etiketok_leuze_electronic_igs_63b_6_3_200_s12/,под заказ
