Название,Цена,Артикул,Описание,Ссылка
ВБ3.08М.65.R4000.1П.1.К,4 728 руб.,F001,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М8x1 длиной 65 мм. Sn 4000 мм, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-08m-65-r4000-1p-1-k
ВБ3.08М.65.R4000.2П.1.К,4 728 руб.,F002,"Оптический датчик (ПРИЕМНИК барьерной пары) в цилиндрическом корпусе с резьбой М8x1 длиной 65 мм. Sn 4000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-08m-65-r4000-2p-1-k
ВБ3.08М.65.T4000.х.1.К,2 208 руб.,F003,"Оптический датчик (ИЗЛУЧАТЕЛЬ барьерной пары) в корпусе из пластика АБС и латуни с резьбой М8x1 длиной 65 мм. -20...+70 °C, 10...30 V DC, кабель ПВХ/2x0,35/ 2 м.",https://mega-k.com/products/vb3-08m-65-t4000-x-1-k
