Название,Цена,Артикул,Описание,Ссылка
PS2D-30M65-10B91-K,1 932 руб.,4673759514799,"Индуктивный датчик, М30, L-65 мм, Sn 15 мм, заподлицо, PNP, -25...+70 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2d-30m65-10b91-k
PS2D-30M65-15N91-K,1 932 руб.,4673759506978,"Индуктивный датчик, М30, L-65 мм, Sn 15 мм, не заподлицо, PNP, -25...+70 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2d-30m65-15n91-k
PS2D-30M75-10B91-C4,2 016 руб.,4673759506985,"Индуктивный датчик, М30, L-75 мм, Sn 10 мм, заподлицо, PNP, -25...+70 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2d-30m75-10b91-c4
PS2D-30M75-15N91-C4,2 016 руб.,4673759506992,"Индуктивный датчик, М30, L-75 мм, Sn 15 мм, не заподлицо, PNP, -25...+70 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2d-30m75-15n91-c4
PS2D-30M80-10B91-Z,1 932 руб.,4673759512061,"Индуктивный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, PNP, -25...+70 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2d-30m80-10b91-z
PS2D-30M80-15N91-Z,1 932 руб.,4673759514805,"Индуктивный датчик, М30, L-80 мм, Sn 15 мм, не заподлицо, PNP, -25...+70 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2d-30m80-15n91-z
PS2D-30M90-10B91-B,2 124 руб.,4673759514812,"Индуктивный датчик, М30, L-90 мм, Sn 10 мм, заподлицо, PNP, -25...+70 °C, 12...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2d-30m90-10b91-b
PS2D-30M90-15N91-B,2 124 руб.,4673759507005,"Индуктивный датчик, М30, L-90 мм, Sn 15 мм, не заподлицо, PNP, -25...+70 °C, 12...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2d-30m90-15n91-b
ДБ2.30М.65.10.9Т.1.К,Цена не указана,C807,"Индуктивный датчик, М30, L-65 мм, Sn 15 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2d-30m65-10b91-k
ДБ2.30М.65.15.9Т.1.К,Цена не указана,C808,"Индуктивный датчик, М30, L-65 мм, Sn 15 мм, не заподлицо, PNP, -25...+75 °C, 12...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2d-30m65-15n91-k
ДБ2.30М.90.10.9Т.1.В,Цена не указана,C814,"Индуктивный датчик, М30, L-90 мм, Sn 10 мм, заподлицо, PNP, -25...+75 °C, 12...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb2d-30m90-10b91-b
