Название,Цена,Артикул,Описание,Ссылка
PS1-33-30N51-C4,2 004 руб.,4673759505315,"Емкостный датчик, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-33-30n51-c4
PS1-33-30N61-C4,2 004 руб.,4673759511590,"Емкостный датчик, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-33-30n61-c4
PS1-33-30N61-K,2 004 руб.,4673759505322,"Емкостный датчик, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-33-30n61-k
ВБ1.33.хх.30.2.1.К,Цена не указана,D431,"Емкостный датчик, Sn 30 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-33-xx-30-2-1-k
ВБ1.33.хх.30.2.1.С4,Цена не указана,D443,"Емкостный датчик, Sn 30 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb1-33-xx-30-2-1-c4
ВБ1.33.хх.30.4.1.К,Цена не указана,D433,"Емкостный датчик, Sn 30 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-33-xx-30-4-1-k
ВБ1.33.хх.30.4.1.С4,Цена не указана,D444,"Емкостный датчик, Sn 30 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb1-33-xx-30-4-1-c4
ВБ1.33.хх.30.6.1.К,Цена не указана,D434,"Емкостный датчик, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb1-33-xx-30-6-1-k
ВБ1.33.хх.30.6.1.С4,Цена не указана,D447,"Емкостный датчик, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb1-33-xx-30-6-1-c4
