Название,Цена,Артикул,Описание,Ссылка
PS2-39-15B11-C4,2 400 руб.,4673759506688,"Индуктивный датчик, Sn 15 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-15b11-c4
PS2-39-15B21-C4,2 400 руб.,4673759514447,"Индуктивный датчик, Sn 15 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-15b21-c4
PS2-39-15B31-C4,2 400 руб.,4673759514454,"Индуктивный датчик, Sn 15 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-15b31-c4
PS2-39-15B41-C4,2 400 руб.,4673759514461,"Индуктивный датчик, Sn 15 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-15b41-c4
PS2-39-15B51-C4,2 532 руб.,4673759506695,"Индуктивный датчик, Sn 15 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-15b51-c4
PS2-39-15B61-C4,2 532 руб.,4673759512290,"Индуктивный датчик, Sn 15 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-15b61-c4
PS2-39-25N11-C4,2 400 руб.,4673759506701,"Индуктивный датчик, Sn 25 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-25n11-c4
PS2-39-25N21-C4,2 400 руб.,4673759506718,"Индуктивный датчик, Sn 25 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-25n21-c4
PS2-39-25N31-C4,2 400 руб.,4673759514478,"Индуктивный датчик, Sn 25 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-25n31-c4
PS2-39-25N41-C4,2 400 руб.,4673759506725,"Индуктивный датчик, Sn 25 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-25n41-c4
PS2-39-25N51-C4,2 532 руб.,4673759506732,"Индуктивный датчик, Sn 25 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-25n51-c4
PS2-39-25N61-C4,2 532 руб.,4673759514485,"Индуктивный датчик, Sn 25 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-39-25n61-c4
ВБ2.39.хх.15.2.1.С4,Цена не указана,C727,"Индуктивный датчик, Sn 15 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-39-xx-15-2-1-c4
ВБ2.39.хх.15.6.1.С4,Цена не указана,C729,"Индуктивный датчик, Sn 15 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-39-xx-15-6-1-c4
ВБ2.39.хх.25.1.1.С4,Цена не указана,C730,"Индуктивный датчик, Sn 25 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-39-xx-25-1-1-c4
ВБ2.39.хх.25.3.1.С4,Цена не указана,C731,"Индуктивный датчик, Sn 25 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-39-xx-25-3-1-c4
ВБ2.39.хх.25.5.1.С4,Цена не указана,C732,"Индуктивный датчик, Sn 25 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-39-xx-25-5-1-c4
ВБ2.39.хх.25.6.1.С4,Цена не указана,C735,"Индуктивный датчик, Sn 25 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-39-xx-25-6-1-c4
