Название,Цена,Артикул,Описание,Ссылка
PS2-30M33-15N21-K,1 728 руб.,4673759513440,"Индуктивный датчик, М30, L-33 мм, Sn 15 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m33-15n21-k
PS2-30M33-15N31-K,1 728 руб.,4673759513457,"Индуктивный датчик, М30, L-33 мм, Sn 15 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m33-15n31-k
PS2-30M33-15N41-K,1 728 руб.,4673759513464,"Индуктивный датчик, М30, L-33 мм, Sn 15 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m33-15n41-k
PS2-30M48-10B11-Z,1 728 руб.,4673759505438,"Индуктивный датчик, М30, L-48 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m48-10b11-z
PS2-30M48-10B21-Z,1 728 руб.,4673759505445,"Индуктивный датчик, М30, L-48 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m48-10b21-z
PS2-30M48-10B31-Z,1 728 руб.,4673759513471,"Индуктивный датчик, М30, L-48 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m48-10b31-z
PS2-30M48-10B41-Z,1 728 руб.,4673759513488,"Индуктивный датчик, М30, L-48 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m48-10b41-z
PS2-30M48-15N11-Z,1 728 руб.,4673759505452,"Индуктивный датчик, М30, L-48 мм, Sn 15 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m48-15n11-z
PS2-30M48-15N21-Z,1 728 руб.,4673759505469,"Индуктивный датчик, М30, L-48 мм, Sn 15 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m48-15n21-z
PS2-30M48-15N31-Z,1 728 руб.,4673759513495,"Индуктивный датчик, М30, L-48 мм, Sn 15 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m48-15n31-z
PS2-30M48-15N41-Z,1 728 руб.,4673759513501,"Индуктивный датчик, М30, L-48 мм, Sn 15 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m48-15n41-z
PS2-30M53-10B11-K,1 788 руб.,4673759505476,"Индуктивный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m53-10b11-k
PS2-30M53-10B21-K,1 788 руб.,4673759505483,"Индуктивный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m53-10b21-k
PS2-30M53-10B31-K,1 788 руб.,4673759505490,"Индуктивный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m53-10b31-k
PS2-30M53-10B41-K,1 788 руб.,4673759513518,"Индуктивный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m53-10b41-k
PS2-30M53-10B51-K,1 872 руб.,4673759505506,"Индуктивный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-30m53-10b51-k
PS2-30M53-10B61-K,1 872 руб.,4673759505537,"Индуктивный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-30m53-10b61-k
PS2-30M53-15N11-K,1 728 руб.,4673759505544,"Индуктивный датчик, М30, L-53 мм, Sn 15 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-30m53-15n11-k
