Название,Цена,Артикул,Описание,Ссылка
PS2R1-30M65-10B11-K,2 604 руб.,4673759507074,"Частотный датчик, М30, L-65 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m65-10b11-k
PS2R1-30M65-10B21-K,2 604 руб.,4673759515734,"Частотный датчик, М30, L-65 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m65-10b21-k
PS2R1-30M65-10B31-K,2 652 руб.,4673759515741,"Частотный датчик, М30, L-65 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m65-10b31-k
PS2R1-30M65-10B41-K,2 652 руб.,4673759515758,"Частотный датчик, М30, L-65 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m65-10b41-k
PS2R1-30M65-15N11-K,2 604 руб.,4673759515765,"Частотный датчик, М30, L-65 мм, 0,1...5 Гц, Sn 15 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m65-15n11-k
PS2R1-30M65-15N21-K,2 604 руб.,4673759515772,"Частотный датчик, М30, L-65 мм, 0,1...5 Гц, Sn 15 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m65-15n21-k
PS2R1-30M65-15N31-K,2 652 руб.,4673759515789,"Частотный датчик, М30, L-65 мм, 0,1...5 Гц, Sn 15 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m65-15n31-k
PS2R1-30M65-15N41-K,2 652 руб.,4673759515796,"Частотный датчик, М30, L-65 мм, 0,1...5 Гц, Sn 15 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m65-15n41-k
PS2R1-30M75-10B51-K,2 808 руб.,4673759507081,"Частотный датчик, М30, L-75 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2r1-30m75-10b51-k
PS2R1-30M75-15N51-K,2 808 руб.,4673759515802,"Частотный датчик, М30, L-75 мм, 0,1...5 Гц, Sn 15 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2r1-30m75-15n51-k
PS2R1-30M80-10B11-B,2 796 руб.,4673759515819,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2r1-30m80-10b11-b
PS2R1-30M80-10B11-Z,2 604 руб.,4673759515826,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m80-10b11-z
PS2R1-30M80-10B21-B,2 796 руб.,4673759515833,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2r1-30m80-10b21-b
PS2R1-30M80-10B21-Z,2 604 руб.,4673759515840,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m80-10b21-z
PS2R1-30M80-10B31-B,2 868 руб.,4673759515857,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2r1-30m80-10b31-b
PS2R1-30M80-10B31-Z,2 652 руб.,4673759515864,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m80-10b31-z
PS2R1-30M80-10B41-B,2 868 руб.,4673759515871,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2r1-30m80-10b41-b
PS2R1-30M80-10B41-Z,2 652 руб.,4673759515888,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m80-10b41-z
PS2R1-30M80-10B74-K,3 108 руб.,4673759507098,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m80-10b74-k
PS2R1-30M80-10B84-K,3 192 руб.,4673759507104,"Частотный датчик, М30, L-80 мм, 0,1...5 Гц, Sn 10 мм, заподлицо, размыкающий, NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2r1-30m80-10b84-k
