Название,Цена,Артикул,Описание,Ссылка
PSN04-N,642 руб.,4673759510999,"Индуктивный датчик, Sn 5 мм, NPN, замыкающий, NO, -25...+75 °C, 5,5...30 V DC, кабель ПВХ 4 мм/3x0,14/ 1 м.",https://mega-k.com/products/psn04-n
PSN04-N2,642 руб.,4673759511002,"Индуктивный датчик, Sn 5 мм, NPN, размыкающий, NC, -25...+75 °C, 5,5...30 V DC, кабель ПВХ 4 мм/3x0,14/ 1 м.",https://mega-k.com/products/psn04-n2
PSN04-P,642 руб.,4673759510975,"Индуктивный датчик, Sn 5 мм, PNP, замыкающий, NO, -25...+75 °C, 5,5...30 V DC, кабель ПВХ 4 мм/3x0,14/ 1 м.",https://mega-k.com/products/psn04-p
PSN04-P2,642 руб.,4673759510982,"Индуктивный датчик, Sn 5 мм, PNP, размыкающий, NC, -25...+75 °C, 5,5...30 V DC, кабель ПВХ 4 мм/3x0,14/ 1 м.",https://mega-k.com/products/psn04-p2
