Название,Цена,Артикул,Описание,Ссылка
PS2-12M33-2B11-K,1 272 руб.,4673759501195,"Индуктивный датчик, М12, L-33 мм, Sn 2 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 5,5...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-2b11-k
PS2-12M33-2B21-K,1 272 руб.,4673759501225,"Индуктивный датчик, М12, L-33 мм, Sn 2 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-2b21-k
PS2-12M33-2B31-K,1 272 руб.,4673759501232,"Индуктивный датчик, М12, L-33 мм, Sn 2 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 5,5...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-2b31-k
PS2-12M33-2B41-K,1 272 руб.,4673759501249,"Индуктивный датчик, М12, L-33 мм, Sn 2 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-2b41-k
PS2-12M33-4B11-K,1 572 руб.,4673759501256,"Индуктивный датчик, М12, L-33 мм, Sn 4 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 5,5...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-4b11-k
PS2-12M33-4B21-K,1 572 руб.,4673759501287,"Индуктивный датчик, М12, L-33 мм, Sn 4 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-4b21-k
PS2-12M33-4B31-K,1 572 руб.,4673759501300,"Индуктивный датчик, М12, L-33 мм, Sn 4 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 5,5...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-4b31-k
PS2-12M33-4B41-K,1 572 руб.,4673759501317,"Индуктивный датчик, М12, L-33 мм, Sn 4 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-4b41-k
PS2-12M33-4N11-K,1 572 руб.,4673759501324,"Индуктивный датчик, М12, L-33 мм, Sn 4 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-4n11-k
PS2-12M33-4N21-K,1 572 руб.,4673759501393,"Индуктивный датчик, М12, L-33 мм, Sn 4 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-4n21-k
PS2-12M33-4N31-K,1 572 руб.,4673759501416,"Индуктивный датчик, М12, L-33 мм, Sn 4 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-4n31-k
PS2-12M33-4N41-K,1 572 руб.,4673759501423,"Индуктивный датчик, М12, L-33 мм, Sn 4 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-12m33-4n41-k
