Название,Цена,Артикул,Описание,Ссылка
PS1-39-50N11-C4,2 880 руб.,4673759505339,"Емкостный датчик, Sn 50 мм /25 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-39-50n11-c4
PS1-39-50N51-C4,3 024 руб.,4673759511613,"Емкостный датчик, Sn 50 мм /25 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-39-50n51-c4
ВБ1.39.хх.50.1.1.С4,Цена не указана,D455,"Емкостный датчик, Sn 50 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb1-39-xx-50-1-1-c4
ВБ1.39.хх.50.5.1.С4,Цена не указана,D459,"Емкостный датчик, Sn 50 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 12...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb1-39-xx-50-5-1-c4
