Название,Цена,Артикул,Описание,Ссылка
PS2-36M70-12B11-K,2 124 руб.,4673759518377,"Индуктивный датчик, М36, L-70 мм, Sn 12 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-12b11-k
PS2-36M70-12B21-K,2 124 руб.,4673759518384,"Индуктивный датчик, М36, L-70 мм, Sn 12 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-12b21-k
PS2-36M70-12B31-K,2 124 руб.,4673759518391,"Индуктивный датчик, М36, L-70 мм, Sn 12 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-12b31-k
PS2-36M70-12B41-K,2 124 руб.,4673759518407,"Индуктивный датчик, М36, L-70 мм, Sn 12 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-12b41-k
PS2-36M70-12B51-K,2 268 руб.,4673759511880,"Индуктивный датчик, М36, L-70 мм, Sn 12 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-36m70-12b51-k
PS2-36M70-12B61-K,2 268 руб.,4673759506558,"Индуктивный датчик, М36, L-70 мм, Sn 12 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-36m70-12b61-k
PS2-36M70-12B74-K,2 172 руб.,4673759513815,"Индуктивный датчик, М36, L-70 мм, Sn 12 мм, заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-12b74-k
PS2-36M70-12B84-K,2 220 руб.,4673759512375,"Индуктивный датчик, М36, L-70 мм, Sn 12 мм, заподлицо, размыкающий, NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-12b84-k
PS2-36M70-20N11-K,2 124 руб.,4673759506565,"Индуктивный датчик, М36, L-70 мм, Sn 20 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-20n11-k
PS2-36M70-20N21-K,2 124 руб.,4673759506572,"Индуктивный датчик, М36, L-70 мм, Sn 20 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-20n21-k
PS2-36M70-20N31-K,2 124 руб.,4673759513822,"Индуктивный датчик, М36, L-70 мм, Sn 20 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-20n31-k
PS2-36M70-20N41-K,2 124 руб.,4673759513839,"Индуктивный датчик, М36, L-70 мм, Sn 20 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-20n41-k
PS2-36M70-20N51-K,2 268 руб.,4673759506589,"Индуктивный датчик, М36, L-70 мм, Sn 20 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-36m70-20n51-k
PS2-36M70-20N61-K,2 268 руб.,4673759506596,"Индуктивный датчик, М36, L-70 мм, Sn 20 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-36m70-20n61-k
PS2-36M70-20N74-K,2 172 руб.,4673759513846,"Индуктивный датчик, М36, L-70 мм, Sn 20 мм, не заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-36m70-20n74-k
