Название,Цена,Артикул,Описание,Ссылка
PS1-30M65-30N51-K,2 028 руб.,4673759505032,"Емкостный датчик, М30, L-65 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-30m65-30n51-k
PS1-30M65-30N61-K,2 028 руб.,4673759505049,"Емкостный датчик, М30, L-65 мм, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-30m65-30n61-k
PS1-30M80-10B11-B,2 712 руб.,4673759510944,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-30m80-10b11-b
PS1-30M80-10B11-Z,2 448 руб.,4673759505094,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m80-10b11-z
PS1-30M80-10B21-B,2 712 руб.,4673759511491,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-30m80-10b21-b
PS1-30M80-10B21-Z,2 448 руб.,4673759505100,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m80-10b21-z
PS1-30M80-10B31-B,2 712 руб.,4673759511507,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-30m80-10b31-b
PS1-30M80-10B31-Z,2 448 руб.,4673759511521,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m80-10b31-z
PS1-30M80-10B41-B,2 712 руб.,4673759511514,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-30m80-10b41-b
PS1-30M80-10B41-Z,2 448 руб.,4673759505117,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m80-10b41-z
PS1-30M80-20N74-B,2 880 руб.,4673759505063,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-30m80-20n74-b
PS1-30M80-20N74-Z,2 604 руб.,4673759511538,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m80-20n74-z
PS1-30M80-20N84-Z,2 676 руб.,4673759505148,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, размыкающий, NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps1-30m80-20n84-z
PS1-30M80-30N51-B,2 388 руб.,4673759505070,"Емкостный датчик, М30, L-80 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-30m80-30n51-b
PS1-30M80-30N51-Z,2 028 руб.,4673759505155,"Емкостный датчик, М30, L-80 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-30m80-30n51-z
PS1-30M80-30N61-B,2 388 руб.,4673759505087,"Емкостный датчик, М30, L-80 мм, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps1-30m80-30n61-b
PS1-30M80-30N61-Z,2 028 руб.,4673759505179,"Емкостный датчик, М30, L-80 мм, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps1-30m80-30n61-z
PS1-30M85-10B11-C4,2 448 руб.,4673759505193,"Емкостный датчик, М30, L-85 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-30m85-10b11-c4
PS1-30M85-10B21-C4,2 448 руб.,4673759511545,"Емкостный датчик, М30, L-85 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-30m85-10b21-c4
PS1-30M85-10B31-C4,2 448 руб.,4673759505209,"Емкостный датчик, М30, L-85 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-30m85-10b31-c4
PS1-30M85-10B41-C4,2 448 руб.,4673759511552,"Емкостный датчик, М30, L-85 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-30m85-10b41-c4
PS1-30M85-20N74-C27,2 724 руб.,4673759511569,"Емкостный датчик, М30, L-85 мм, Sn 20 мм, не заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, разъем/М12/3-конт.",https://mega-k.com/products/ps1-30m85-20n74-c27
PS1-30M85-20N84-C27,2 772 руб.,4673759511576,"Емкостный датчик, М30, L-85 мм, Sn 20 мм, не заподлицо, размыкающий, NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, разъем/М12/3-конт.",https://mega-k.com/products/ps1-30m85-20n84-c27
PS1-30M85-30N51-C4,2 160 руб.,4673759505247,"Емкостный датчик, М30, L-85 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-30m85-30n51-c4
PS1-30M85-30N61-C4,2 160 руб.,4673759511583,"Емкостный датчик, М30, L-85 мм, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps1-30m85-30n61-c4
PS1P-30M130-15N125-Z,3 648 руб.,4673759505346,"Емкостный датчик, М30, L-130 мм, Sn 15 мм, не заподлицо, переключающий, NO+NC, -25...+75 °C, ~90...250 V, 45...65 Гц АС / -90...250 V DC, кабель ПВХ 7,5 мм/5x0,75/ 2 м.",https://mega-k.com/products/ps1p-30m130-15n125-z
PS1P-30M130-8B125-Z,4 524 руб.,4673759511620,"Емкостный датчик, М30, L-130 мм, Sn 8 мм, заподлицо, переключающий, NO+NC, -25...+75 °C, ~90...250 V, 45...65 Гц АС / -90...250 V DC, кабель ПВХ 7,5 мм/5x0,75/ 2 м.",https://mega-k.com/products/ps1p-30m130-8b125-z
ВБ1.30М.53.10.1.1.К,Цена не указана,D385,"Емкостный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-53-10-1-1-k
ВБ1.30М.53.10.3.1.К,Цена не указана,D386,"Емкостный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-53-10-3-1-k
ВБ1.30М.53.10.4.1.К,Цена не указана,D513,"Емкостный датчик, М30, L-53 мм, Sn 10 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-53-10-4-1-k
ВБ1.30М.53.20.1.1.К,Цена не указана,D514,"Емкостный датчик, М30, L-53 мм, Sn 20 мм, не заподлицо, PNP, замыкающий (NO), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-53-20-1-1-k
ВБ1.30М.53.20.3.1.К,Цена не указана,D390,"Емкостный датчик, М30, L-53 мм, Sn 20 мм, не заподлицо, PNP, размыкающий (NС), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-53-20-3-1-k
ВБ1.30М.65.10.1.1.К,Цена не указана,D392,"Емкостный датчик, М30, L-65 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-65-10-1-1-k
ВБ1.30М.65.10.2.1.К,Цена не указана,D387,"Емкостный датчик, М30, L-65 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-65-10-2-1-k
ВБ1.30М.65.10.3.1.К,Цена не указана,D393,"Емкостный датчик, М30, L-65 мм, Sn 10 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-65-10-3-1-k
ВБ1.30М.65.20.3.1.К,Цена не указана,D396,"Емкостный датчик, М30, L-65 мм, Sn 30 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-65-20-3-1-k
ВБ1.30М.65.20.4.1.К,Цена не указана,D394,"Емкостный датчик, М30, L-65 мм, Sn 20 мм, не заподлицо, NPN, размыкающий (NC), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-65-20-4-1-k
ВБ1.30М.65.20.8.4.К,Цена не указана,D468,"Емкостный датчик, М30, L-65 мм, Sn 20 мм, не заподлицо, размыкающий, NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-65-20-8-4-k
ВБ1.30М.80.10.1.1.В,Цена не указана,D414,"Емкостный датчик, М30, L-80 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb1-30m-80-10-1-1-v
ВБ1.30М.80.20.1.1.Z,Цена не указана,D400,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, PNP, замыкающий (NO), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-80-20-1-1-z
ВБ1.30М.80.20.1.1.В,Цена не указана,D420,"Емкостный датчик, М30, L-80 мм, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb1-30m-80-20-1-1-v
ВБ1.30М.80.20.2.1.В,Цена не указана,D421,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, NPN, замыкающий (NO), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb1-30m-80-20-2-1-v
ВБ1.30М.80.20.3.1.Z,Цена не указана,D399,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, PNP, размыкающий (NС), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-80-20-3-1-z
ВБ1.30М.80.20.3.1.В,Цена не указана,D419,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, PNP, размыкающий (NС), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb1-30m-80-20-3-1-v
ВБ1.30М.80.20.4.1.В,Цена не указана,D418,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, NPN, размыкающий (NC), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb1-30m-80-20-4-1-v
ВБ1.30М.80.20.7.4.Z,Цена не указана,D471,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb1-30m-80-20-7-4-z
ВБ1.30М.80.20.7.4.В,Цена не указана,D475,"Емкостный датчик, М30, L-80 мм, Sn 20 мм, не заподлицо, замыкающий, NO, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb1-30m-80-20-7-4-v
ВБ1.30М.85.10.1.1.С4,Цена не указана,D406,"Емкостный датчик, М30, L-85 мм, Sn 10 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb1-30m-85-10-1-1-c4
ВБ1.30М.85.10.2.1.С4,Цена не указана,D408,"Емкостный датчик, М30, L-85 мм, Sn 10 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb1-30m-85-10-2-1-c4
ВБ1.30М.85.20.1.1.С4,Цена не указана,D411,"Емкостный датчик, М30, L-85 мм, Sn 20 мм, не заподлицо, PNP, замыкающий (NO), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, разъем С4.",https://mega-k.com/products/vb1-30m-85-20-1-1-c4
ВБ1.30М.85.20.3.1.С4,Цена не указана,D413,"Емкостный датчик, М30, L-85 мм, Sn 20 мм, не заподлицо, PNP, размыкающий (NС), переключающий, NO+NC, -25...+70 °C, 10...30 V DC, разъем С4.",https://mega-k.com/products/vb1-30m-85-20-3-1-c4
ВБ1П.30М.130.15.12.5.Z,Цена не указана,D485,"Емкостный датчик, М30, L-130 мм, Sn 15 мм, не заподлицо, переключающий, NO+NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель, штуцер.",https://mega-k.com/products/vb1p-30m-130-15-12-5-z
ВБ1П.30М.130.8.12.5.Z,Цена не указана,D484,"Емкостный датчик, М30, L-130 мм, Sn 8 мм, заподлицо, переключающий, NO+NC, -25...+75 °C, ~24...250 V, 45...65 Гц АС / -30...250 V DC, кабель, штуцер.",https://mega-k.com/products/vb1p-30m-130-8-12-5-z
