Название,Цена,Артикул,Описание,Ссылка
PS2-33-20B11-B,1 776 руб.,4673759514072,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2-33-20b11-b
PS2-33-20B11-C4,1 476 руб.,4673759506305,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-20b11-c4
PS2-33-20B11-K,1 476 руб.,4673759506312,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-33-20b11-k
PS2-33-20B21-C4,1 476 руб.,4673759514089,"Индуктивный датчик, Sn 20 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-20b21-c4
PS2-33-20B21-K,1 476 руб.,4673759514096,"Индуктивный датчик, Sn 20 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-33-20b21-k
PS2-33-20B31-B,1 776 руб.,4673759514102,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2-33-20b31-b
PS2-33-20B31-C4,1 476 руб.,4673759514119,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-20b31-c4
PS2-33-20B31-K,1 476 руб.,4673759512566,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-33-20b31-k
PS2-33-20B41-C4,1 476 руб.,4673759514126,"Индуктивный датчик, Sn 20 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-20b41-c4
PS2-33-20B41-K,1 476 руб.,4673759514133,"Индуктивный датчик, Sn 20 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-33-20b41-k
PS2-33-20B51-B,1 932 руб.,4673759514140,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2-33-20b51-b
PS2-33-20B51-C4,1 620 руб.,4673759514157,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-20b51-c4
PS2-33-20B51-K,1 620 руб.,4673759514164,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-33-20b51-k
PS2-33-20B61-C4,1 620 руб.,4673759514171,"Индуктивный датчик, Sn 20 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-20b61-c4
PS2-33-20B61-K,1 620 руб.,4673759514188,"Индуктивный датчик, Sn 20 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-33-20b61-k
PS2-33-30N11-B,1 968 руб.,4673759506329,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2-33-30n11-b
PS2-33-30N11-C4,1 620 руб.,4673759506336,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-30n11-c4
PS2-33-30N11-K,1 620 руб.,4673759506343,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-33-30n11-k
PS2-33-30N21-C4,1 620 руб.,4673759514195,"Индуктивный датчик, Sn 30 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-30n21-c4
PS2-33-30N21-K,1 620 руб.,4673759511934,"Индуктивный датчик, Sn 30 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-33-30n21-k
PS2-33-30N31-B,1 968 руб.,4673759514201,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2-33-30n31-b
PS2-33-30N31-C4,1 620 руб.,4673759514218,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-30n31-c4
PS2-33-30N31-K,1 620 руб.,4673759514225,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-33-30n31-k
PS2-33-30N41-C4,1 620 руб.,4673759514232,"Индуктивный датчик, Sn 30 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-30n41-c4
PS2-33-30N41-K,1 620 руб.,4673759514249,"Индуктивный датчик, Sn 30 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-33-30n41-k
PS2-33-30N51-B,2 124 руб.,4673759514256,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/ps2-33-30n51-b
PS2-33-30N51-C4,1 752 руб.,4673759506374,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-30n51-c4
PS2-33-30N51-K,1 752 руб.,4673759506381,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-33-30n51-k
PS2-33-30N61-C4,1 752 руб.,4673759514263,"Индуктивный датчик, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-33-30n61-c4
PS2-33-30N61-K,1 752 руб.,4673759511187,"Индуктивный датчик, Sn 30 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-33-30n61-k
PS2A-33-20B31-Z-Y,1 716 руб.,4673759514270,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, размыкающий, NC, -40...+70 °C, 10...30 V DC, провод ПВАМ/3x1/ 2,06 м.",https://mega-k.com/products/ps2a-33-20b31-z-y
PS2A-33-30N11-Z-Y,1 824 руб.,4673759506831,"Индуктивный датчик, Sn 30 мм, не заподлицо, PNP, замыкающий, NO, -40...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2a-33-30n11-z-y
ВБ2.33.хх.20.1.1.К,Цена не указана,C684,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-33-xx-20-1-1-k
ВБ2.33.хх.20.2.1.С4,Цена не указана,C675,"Индуктивный датчик, Sn 20 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-33-xx-20-2-1-c4
ВБ2.33.хх.20.5.1.В,Цена не указана,C662,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, клеммная коробка/вывод вбок.",https://mega-k.com/products/vb2-33-xx-20-5-1-v
ВБ2.33.хх.20.5.1.К,Цена не указана,C686,"Индуктивный датчик, Sn 20 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb2-33-xx-20-5-1-k
