Название,Цена,Артикул,Описание,Ссылка
PS2-38-5B11-K,1 416 руб.,4673759506664,"Индуктивный датчик, Sn 5 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-38-5b11-k
PS2-38-5B21-K,1 416 руб.,4673759514423,"Индуктивный датчик, Sn 5 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-38-5b21-k
PS2-38-5B31-K,1 416 руб.,4673759506671,"Индуктивный датчик, Sn 5 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-38-5b31-k
PS2-38-5B41-K,1 416 руб.,4673759514430,"Индуктивный датчик, Sn 5 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-38-5b41-k
ВБ2.38.хх.5.2.1.К,Цена не указана,C722,"Индуктивный датчик, Sn 5 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-38-xx-5-2-1-k
