Название,Цена,Артикул,Описание,Ссылка
PS2-34-25B11-C4,2 004 руб.,4673759514287,"Индуктивный датчик, Sn 25 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-25b11-c4
PS2-34-25B11-K,2 004 руб.,4673759506398,"Индуктивный датчик, Sn 25 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-34-25b11-k
PS2-34-25B21-C4,2 004 руб.,4673759514294,"Индуктивный датчик, Sn 25 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-25b21-c4
PS2-34-25B21-K,2 004 руб.,4673759514300,"Индуктивный датчик, Sn 25 мм, заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-34-25b21-k
PS2-34-25B31-C4,2 004 руб.,4673759514317,"Индуктивный датчик, Sn 25 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-25b31-c4
PS2-34-25B31-K,2 004 руб.,4673759506404,"Индуктивный датчик, Sn 25 мм, заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-34-25b31-k
PS2-34-25B41-C4,2 004 руб.,4673759514324,"Индуктивный датчик, Sn 25 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-25b41-c4
PS2-34-25B41-K,2 004 руб.,4673759514331,"Индуктивный датчик, Sn 25 мм, заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-34-25b41-k
PS2-34-25B51-C4,2 124 руб.,4673759514348,"Индуктивный датчик, Sn 25 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-25b51-c4
PS2-34-25B51-K,2 124 руб.,4673759514355,"Индуктивный датчик, Sn 25 мм, заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-34-25b51-k
PS2-34-25B61-C4,2 124 руб.,4673759514362,"Индуктивный датчик, Sn 25 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-25b61-c4
PS2-34-25B61-K,2 124 руб.,4673759514379,"Индуктивный датчик, Sn 25 мм, заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-34-25b61-k
PS2-34-45N11-C4,2 208 руб.,4673759506411,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-45n11-c4
PS2-34-45N11-K,2 208 руб.,4673759506428,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-34-45n11-k
PS2-34-45N21-C4,2 208 руб.,4673759514386,"Индуктивный датчик, Sn 45 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-45n21-c4
PS2-34-45N21-K,2 208 руб.,4673759506435,"Индуктивный датчик, Sn 45 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-34-45n21-k
PS2-34-45N31-C4,2 208 руб.,4673759510807,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-45n31-c4
PS2-34-45N31-K,2 208 руб.,4673759506459,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-34-45n31-k
PS2-34-45N41-C4,2 208 руб.,4673759514393,"Индуктивный датчик, Sn 45 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-45n41-c4
PS2-34-45N41-K,2 208 руб.,4673759514409,"Индуктивный датчик, Sn 45 мм, не заподлицо, NPN, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/ps2-34-45n41-k
PS2-34-45N51-C4,2 364 руб.,4673759506466,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-45n51-c4
PS2-34-45N51-K,2 364 руб.,4673759506473,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-34-45n51-k
PS2-34-45N61-C4,2 364 руб.,4673759514416,"Индуктивный датчик, Sn 45 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/ps2-34-45n61-c4
PS2-34-45N61-K,2 364 руб.,4673759506497,"Индуктивный датчик, Sn 45 мм, не заподлицо, NPN, переключающий, NO+NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/ps2-34-45n61-k
ВБ2.34.хх.25.1.1.С4,Цена не указана,C696,"Индуктивный датчик, Sn 25 мм, заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-34-xx-25-1-1-c4
ВБ2.34.хх.45.1.1.К,Цена не указана,C714,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-34-xx-45-1-1-k
ВБ2.34.хх.45.1.1.С4,Цена не указана,C702,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, замыкающий, NO, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-34-xx-45-1-1-c4
ВБ2.34.хх.45.2.1.К,Цена не указана,C717,"Индуктивный датчик, Sn 45 мм, не заподлицо, NPN, замыкающий, NO, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-34-xx-45-2-1-k
ВБ2.34.хх.45.3.1.К,Цена не указана,C715,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, кабель ПВХ 5,5 мм/3x0,35/ 2 м.",https://mega-k.com/products/vb2-34-xx-45-3-1-k
ВБ2.34.хх.45.3.1.С4,Цена не указана,C703,"Индуктивный датчик, Sn 45 мм, не заподлицо, PNP, размыкающий, NC, -25...+75 °C, 10...30 V DC, разъем/М12/4-конт.",https://mega-k.com/products/vb2-34-xx-45-3-1-c4
