Название,Цена,Артикул,Описание,Ссылка
ВБ3.48.xx.R16000.1П.1.К,4 980 руб.,F184,"Оптический датчик (ПРИЕМНИК барьерной пары) в корпусе из пластика АБС и латуни с резьбой М18x1 длиной 48 мм. Sn 16000 мм, PNP, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-48-xx-r16000-1p-1-k
ВБ3.48.xx.R16000.56П.1.К,5 388 руб.,F185,"Оптический датчик (ПРИЕМНИК барьерной пары) в корпусе из пластика АБС и латуни с резьбой М18x1 длиной 48 мм. Sn 16000 мм, PNP+NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/5x0,2/ 2 м.",https://mega-k.com/products/vb3-48-xx-r16000-56p-1-k
ВБ3.48.xx.R4000.2П.1.К,3 984 руб.,F029,"Оптический датчик (ПРИЕМНИК барьерной пары) в корпусе из пластика АБС и латуни с резьбой М18x1 длиной 48 мм. Sn 4000 мм, NPN, NO/NC, размыкающий или замыкающий, -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-48-xx-r4000-2p-1-k
ВБ3.48.xx.Т16000.х.1.К,3 150 руб.,F186,"Оптический датчик (ИЗЛУЧАТЕЛЬ барьерной пары) в корпусе из пластика АБС и латуни с резьбой М18x1 длиной 48 мм. -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-48-xx-t16000-x-1-k
ВБ3.48.xx.Т4000.х.1.К,2 688 руб.,F030,"Оптический датчик (ИЗЛУЧАТЕЛЬ барьерной пары) в корпусе из пластика АБС и латуни с резьбой М18x1 длиной 48 мм. -20...+70 °C, 10...30 V DC, кабель ПВХ 5,5 мм/4x0,2/ 2 м.",https://mega-k.com/products/vb3-48-xx-t4000-x-1-k
